iter	Passed	Remaining
889	1528	188
890	1529	187
891	1531	185
892	1532	183
893	1533	181
894	1534	180
895	1536	178
896	1537	176
897	1538	174
898	1539	172
899	1540	171
900	1542	169
901	1543	167
902	1544	165
903	1545	164
904	1546	162
905	1547	160
906	1549	158
907	1551	157
908	1552	155
909	1553	153
910	1555	151
911	1556	150
912	1557	148
913	1558	146
914	1559	144
915	1561	143
916	1562	141
917	1563	139
918	1564	137
919	1565	136
920	1566	134
921	1568	132
922	1569	130
923	1570	129
924	1571	127
925	1572	125
926	1573	123
927	1575	122
928	1576	120
929	1577	118
930	1579	117
931	1579	115
932	1580	113
933	1581	111
934	1582	110
935	1584	108
936	1585	106
937	1586	104
938	1587	103
939	1588	101
940	1589	99
941	1591	97
942	1592	96
943	1594	94
944	1595	92
945	1596	91
946	1598	89
947	1599	87
948	1600	86
949	1601	84
950	1602	82
951	1604	80
952	1605	79
953	1606	77
954	1607	75
955	1608	74
956	1609	72
957	1610	70
958	1611	68
959	1612	67
960	1613	65
961	1614	63
962	1616	62
963	1618	60
964	1619	58
965	1621	57
966	1622	55
967	1624	53
968	1626	52
969	1628	50
970	1631	48
971	1632	47
972	1634	45
973	1635	43
974	1636	41
975	1637	40
976	1638	38
977	1639	36
978	1641	35
979	1643	33
980	1644	31
981	1646	30
982	1647	28
983	1648	26
984	1649	25
985	1651	23
986	1652	21
987	1654	20
988	1656	18
989	1658	16
990	1659	15
991	1661	13
992	1663	11
993	1665	10
994	1666	8
995	1667	6
996	1669	5
997	1670	3
998	1672	1
999	1673	0
